date,tag_count,image_count,latest_images,arm_images,arm64_images,ppc64le_images,x386_images,amd64_images,s390x_images,linux_images,windows_images
2020-03-21 00:00:00,5661,9228,1195,1103,975,707,509,4504,1412,8990,193
2020-03-22 00:00:00,5661,9350,1195,1107,1001,755,509,4520,1440,9112,193
2020-03-23 00:00:00,5667,9238,1194,1125,978,688,509,4478,1442,9000,193
2020-03-24 00:00:00,5673,9299,1086,1175,982,703,526,4449,1446,9111,143
2020-03-25 00:00:00,5682,9377,1092,1155,1003,727,526,4468,1480,9189,143
2020-03-26 00:00:00,5686,9271,1097,1158,974,697,520,4464,1440,9068,158
2020-03-27 00:00:00,5686,9385,1098,1131,1014,751,518,4501,1452,9187,153
2020-03-28 00:00:00,5686,9213,1102,1148,968,685,509,4453,1432,9015,153
2020-03-29 00:00:00,5694,9221,1103,1128,969,685,509,4450,1462,9015,161
2020-03-30 00:00:00,5695,9244,1101,1132,995,691,509,4467,1432,9038,161
2020-03-31 00:00:00,5710,9359,1159,1185,1003,700,525,4506,1422,9169,145
2020-04-01 00:00:00,5727,9411,1203,1151,1032,693,515,4536,1465,9197,168
2020-04-02 00:00:00,5731,9405,1197,1152,1038,691,515,4559,1431,9191,168
2020-04-03 00:00:00,5732,9393,1197,1178,1028,689,515,4513,1451,9179,168
2020-04-04 00:00:00,5735,9362,1190,1164,1018,679,515,4506,1461,9148,168
2020-04-05 00:00:00,5737,9344,1190,1154,1018,669,515,4498,1471,9130,168
2020-04-06 00:00:00,5737,9344,1189,1155,1018,669,515,4574,1394,9130,168
2020-04-07 00:00:00,5738,9395,1190,1185,1023,708,517,4510,1433,9182,167
2020-04-08 00:00:00,5745,9553,1194,1175,1051,749,517,4573,1469,9340,167
2020-04-09 00:00:00,5761,9382,1190,1211,1010,713,525,4513,1391,9169,167
2020-04-10 00:00:00,5764,9457,1192,1204,1017,731,521,4545,1420,9242,169
2020-04-11 00:00:00,5764,9453,1184,1203,1014,726,518,4548,1425,9241,166
2020-04-12 00:00:00,5774,9463,1187,1203,1014,726,518,4558,1425,9246,171
2020-04-13 00:00:00,5777,9466,1187,1203,1014,726,518,4561,1425,9249,171
2020-04-14 00:00:00,5814,9509,1191,1200,1014,726,518,4597,1435,9280,183
2020-04-15 00:00:00,5835,9453,1198,1209,1008,663,517,4632,1405,9206,201
2020-04-16 00:00:00,5840,9442,1229,1151,982,649,512,4656,1409,9165,231
2020-04-17 00:00:00,5841,9595,1220,1174,1018,726,518,4597,1453,9344,205
2020-04-18 00:00:00,5841,9602,1205,1165,1008,737,519,4610,1456,9347,209
2020-04-19 00:00:00,5841,9794,1205,1177,1044,745,519,4682,1520,9537,211
2020-04-20 00:00:00,5841,9652,1200,1175,1019,731,519,4621,1480,9395,211
2020-04-21 00:00:00,5847,9737,1200,1167,1022,720,517,4662,1525,9460,231
2020-04-22 00:00:00,5844,9865,1216,1182,1053,746,522,4683,1553,9583,236
2020-04-23 00:00:00,5853,9753,1223,1163,1041,725,523,4634,1525,9484,223
2020-04-24 00:00:00,5856,9763,1142,1236,1067,714,539,4613,1520,9537,180
2020-04-25 00:00:00,5872,9802,1121,1178,1050,744,520,4677,1573,9571,185
2020-04-26 00:00:00,5873,9643,1121,1182,1020,688,520,4650,1523,9412,185
2020-04-28 00:00:00,5876,9641,1126,1174,1020,733,519,4622,1513,9410,185
2020-04-29 00:00:00,5880,9734,1131,1153,1032,737,515,4663,1557,9516,172
2020-04-30 00:00:00,5880,9615,1135,1133,1022,738,504,4635,1498,9377,192
2020-05-01 00:00:00,5880,9623,1149,1150,1018,722,501,4638,1494,9373,204
2020-05-02 00:00:00,5882,9610,1149,1130,1013,732,499,4635,1494,9347,217
2020-05-03 00:00:00,5882,9610,1148,1145,1013,722,499,4635,1489,9347,217
2020-05-04 00:00:00,5883,9644,1153,1143,1033,701,499,4646,1515,9381,217
2020-05-05 00:00:00,5888,9734,1155,1136,1015,727,499,4699,1541,9478,210
2020-05-06 00:00:00,5902,9645,1149,1152,1002,722,505,4651,1498,9397,202
2020-05-07 00:00:00,5905,9826,1153,1155,1031,759,508,4702,1562,9581,199
2020-05-08 00:00:00,5907,9854,1153,1160,1038,755,510,4712,1568,9604,204
2020-05-09 00:00:00,5908,9735,1144,1158,1021,739,510,4675,1528,9485,204
2020-05-10 00:00:00,5908,9848,1145,1160,1038,755,510,4713,1568,9602,200
2020-05-11 00:00:00,5908,9848,1145,1159,1038,755,510,4714,1568,9602,200
2020-05-12 00:00:00,5912,9855,1160,1151,1037,753,505,4717,1568,9602,207
2020-05-13 00:00:00,5911,9868,1160,1152,1044,756,505,4716,1571,9615,207
2020-05-14 00:00:00,5915,9768,1219,1139,993,715,500,4707,1535,9458,263
2020-05-15 00:00:00,5916,9670,1213,1124,980,731,506,4665,1495,9361,262
2020-05-16 00:00:00,5917,9724,1228,1167,1009,712,517,4647,1510,9451,226
2020-05-17 00:00:00,5919,10000,1238,1180,1085,731,514,4746,1580,9726,227
2020-05-18 00:00:00,5925,9992,1228,1180,1085,729,514,4740,1580,9728,217
2020-05-19 00:00:00,5926,9964,1218,1202,1065,754,515,4714,1556,9694,223
2020-05-20 00:00:00,5930,9968,1210,1212,1066,747,515,4723,1553,9692,229
2020-05-21 00:00:00,5930,9966,1215,1212,1078,754,517,4712,1553,9698,221
2020-05-22 00:00:00,5939,9947,1221,1209,1049,748,517,4723,1549,9689,211
2020-05-23 00:00:00,5939,9955,1218,1204,1056,748,517,4724,1554,9696,212
